央视频道,#genre#
CCTV-9,http://sxd.nyxg.vip:40000/udp/239.77.1.65:5146
CCTV-9,http://sxd.nyxg.vip:40000/udp/239.77.1.160:5146
CCTV-9,http://sxd.nyxg.vip:40000/udp/239.77.0.135:5146
CCTV-10,http://sxd.nyxg.vip:40000/udp/239.77.0.39:5146
CCTV-10,http://sxd.nyxg.vip:40000/udp/239.77.1.25:5146
CCTV-10,http://sxd.nyxg.vip:40000/udp/239.77.1.113:5146
CCTV-10,http://sxd.nyxg.vip:40000/udp/239.77.0.134:5146
CCTV-11,http://sxd.nyxg.vip:40000/udp/239.77.0.40:5146
CCTV-11,http://sxd.nyxg.vip:40000/udp/239.77.1.42:5146
CCTV-11,http://sxd.nyxg.vip:40000/udp/239.77.1.238:5146
CCTV-12,http://sxd.nyxg.vip:40000/udp/239.77.0.41:5146
CCTV-12,http://sxd.nyxg.vip:40000/udp/239.77.1.10:5146
CCTV-12,http://sxd.nyxg.vip:40000/udp/239.77.1.109:5146
CCTV-12,http://sxd.nyxg.vip:40000/udp/239.77.0.136:5146
CCTV-13,http://sxd.nyxg.vip:40000/udp/239.77.0.42:5146
CCTV-13,http://sxd.nyxg.vip:40000/udp/239.77.1.26:5146
CCTV-13,http://sxd.nyxg.vip:40000/udp/239.77.0.188:5146
CCTV-13,http://sxd.nyxg.vip:40000/udp/239.253.43.196:5146
CCTV-14,http://sxd.nyxg.vip:40000/udp/239.77.0.43:5146
CCTV-14,http://sxd.nyxg.vip:40000/udp/239.77.1.43:5146
CCTV-14,http://sxd.nyxg.vip:40000/udp/239.77.1.161:5146
CCTV-14,http://sxd.nyxg.vip:40000/udp/239.77.0.133:5146
CCTV-15,http://sxd.nyxg.vip:40000/udp/239.77.0.44:5146
CCTV-15,http://sxd.nyxg.vip:40000/udp/239.77.1.11:5146
CCTV-15,http://sxd.nyxg.vip:40000/udp/239.77.1.239:5146
CCTV-16,http://sxd.nyxg.vip:40000/udp/239.77.0.165:5146
CCTV-16,http://sxd.nyxg.vip:40000/udp/239.77.1.76:5146
CCTV-16,http://sxd.nyxg.vip:40000/udp/239.77.1.98:5146
CCTV-17,http://sxd.nyxg.vip:40000/udp/239.77.0.115:5146
CCTV-17,http://sxd.nyxg.vip:40000/udp/239.77.1.123:5146
CCTV-17,http://sxd.nyxg.vip:40000/udp/239.77.1.121:5146
CCTV-17,http://sxd.nyxg.vip:40000/udp/239.77.0.198:5146

地方频道,#genre#
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.112:5146
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.6:5146
潮州综合,http://sxd.nyxg.vip:40000/udp/239.253.43.70:5146
潮州民生,http://sxd.nyxg.vip:40000/udp/239.253.43.75:5146 
汕头综合,http://113.88.134.104:7000/udp/239.253.43.30:5146
汕头综合,http://113.88.134.104:7000/udp/239.77.1.130:5146
汕头综合,http://113.88.134.104:7000/udp/239.253.43.45:5146
汕头经济,http://113.88.134.104:7000/udp/239.253.43.43:5146
汕头经济,http://113.88.134.104:7000/udp/239.77.1.131:5146
汕头经济,http://113.88.134.104:7000/udp/239.253.43.46:5146
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
